Year,Industry,Value
2008-01-01,Households,153.3176
2009-01-01,Households,149.093
2010-01-01,Households,157.50379999999998
2011-01-01,Households,139.1815
2012-01-01,Households,146.0651
2013-01-01,Households,148.1475
2014-01-01,Households,136.0015
2015-01-01,Households,139.97639999999998
2016-01-01,Households,142.4221
2017-01-01,Households,141.38989999999998
2018-01-01,Households,144.1741
2019-01-01,Households,140.918
2020-01-01,Households,125.1527
2021-01-01,Households,134.7619
