Year,Gas,Value
2006-01-01,Hydrofluorocarbons (HFC),9.3758
2006-01-01,Sulphur hexafluoride (SF6),0.8732
2006-01-01,Nitrogen Trifluoride (NF3),4e-4
2007-01-01,Methane (CH4),91.7552
2007-01-01,Nitrous oxide (N2O),22.1542
2007-01-01,Perfluorocarbons (PFC),0.2649
2007-01-01,Carbon dioxide (CO2),552.8754
2007-01-01,Fluorinated gases (F gases),10.8898
2007-01-01,Hydrofluorocarbons (HFC),9.7941
2007-01-01,Sulphur hexafluoride (SF6),0.8304
2007-01-01,Nitrogen Trifluoride (NF3),4e-4
2008-01-01,Methane (CH4),85.2771
2008-01-01,Nitrous oxide (N2O),21.6092
2008-01-01,Perfluorocarbons (PFC),0.2382
2008-01-01,Carbon dioxide (CO2),537.9163
2008-01-01,Fluorinated gases (F gases),11.1042
2008-01-01,Hydrofluorocarbons (HFC),10.1955
2008-01-01,Sulphur hexafluoride (SF6),0.6702
2008-01-01,Nitrogen Trifluoride (NF3),4e-4
2009-01-01,Methane (CH4),80.428
2009-01-01,Nitrous oxide (N2O),20.1948
2009-01-01,Perfluorocarbons (PFC),0.1742
2009-01-01,Carbon dioxide (CO2),487.1136
2009-01-01,Fluorinated gases (F gases),11.4366
2009-01-01,Hydrofluorocarbons (HFC),10.6878
2009-01-01,Sulphur hexafluoride (SF6),0.5743
2009-01-01,Nitrogen Trifluoride (NF3),4e-4
2010-01-01,Methane (CH4),75.2415
2010-01-01,Nitrous oxide (N2O),20.583
2010-01-01,Perfluorocarbons (PFC),0.2571
2010-01-01,Carbon dioxide (CO2),504.9617
2010-01-01,Fluorinated gases (F gases),12.1676
2010-01-01,Hydrofluorocarbons (HFC),11.2316
2010-01-01,Sulphur hexafluoride (SF6),0.6785
2010-01-01,Nitrogen Trifluoride (NF3),3e-4
2011-01-01,Methane (CH4),72.2899
2011-01-01,Nitrous oxide (N2O),19.868
2011-01-01,Perfluorocarbons (PFC),0.3764
2011-01-01,Carbon dioxide (CO2),461.9423
2011-01-01,Fluorinated gases (F gases),12.7706
2011-01-01,Hydrofluorocarbons (HFC),11.8281
2011-01-01,Sulphur hexafluoride (SF6),0.5658
2011-01-01,Nitrogen Trifluoride (NF3),3e-4
2012-01-01,Methane (CH4),70.5045
2012-01-01,Nitrous oxide (N2O),19.6111
2012-01-01,Perfluorocarbons (PFC),0.2217
2012-01-01,Carbon dioxide (CO2),479.8194
2012-01-01,Fluorinated gases (F gases),13.1574
2012-01-01,Hydrofluorocarbons (HFC),12.3957
2012-01-01,Sulphur hexafluoride (SF6),0.5397
2012-01-01,Nitrogen Trifluoride (NF3),3e-4
2013-01-01,Methane (CH4),65.8136
2013-01-01,Nitrous oxide (N2O),19.6046
2013-01-01,Perfluorocarbons (PFC),0.2742
2013-01-01,Carbon dioxide (CO2),469.6548
2013-01-01,Fluorinated gases (F gases),13.5323
2013-01-01,Hydrofluorocarbons (HFC),12.7832
2013-01-01,Sulphur hexafluoride (SF6),0.4745
2013-01-01,Nitrogen Trifluoride (NF3),3e-4
2014-01-01,Methane (CH4),63.5903
2014-01-01,Nitrous oxide (N2O),20.1195
2014-01-01,Perfluorocarbons (PFC),0.2192
2014-01-01,Carbon dioxide (CO2),430.4585
2014-01-01,Fluorinated gases (F gases),13.5896
2014-01-01,Hydrofluorocarbons (HFC),12.9318
2014-01-01,Sulphur hexafluoride (SF6),0.4382
2014-01-01,Nitrogen Trifluoride (NF3),3e-4
2015-01-01,Methane (CH4),62.527
2015-01-01,Nitrous oxide (N2O),19.9362
2015-01-01,Perfluorocarbons (PFC),0.2572
2015-01-01,Carbon dioxide (CO2),414.3839
2015-01-01,Fluorinated gases (F gases),13.5742
2015-01-01,Hydrofluorocarbons (HFC),12.8988
2015-01-01,Sulphur hexafluoride (SF6),0.4179
2015-01-01,Nitrogen Trifluoride (NF3),3e-4
2016-01-01,Methane (CH4),60.5003
2016-01-01,Nitrous oxide (N2O),19.4742
2016-01-01,Perfluorocarbons (PFC),0.2672
2016-01-01,Carbon dioxide (CO2),391.381
2016-01-01,Fluorinated gases (F gases),13.5835
2016-01-01,Hydrofluorocarbons (HFC),12.8676
2016-01-01,Sulphur hexafluoride (SF6),0.4483
2016-01-01,Nitrogen Trifluoride (NF3),3e-4
2017-01-01,Methane (CH4),60.8807
2017-01-01,Nitrous oxide (N2O),19.8343
2017-01-01,Perfluorocarbons (PFC),0.3869
2017-01-01,Carbon dioxide (CO2),378.9044
2017-01-01,Fluorinated gases (F gases),13.5961
2017-01-01,Hydrofluorocarbons (HFC),12.755
2017-01-01,Sulphur hexafluoride (SF6),0.4538
2017-01-01,Nitrogen Trifluoride (NF3),3e-4
2018-01-01,Methane (CH4),60.4344
2018-01-01,Nitrous oxide (N2O),19.6548
2018-01-01,Perfluorocarbons (PFC),0.1349
2018-01-01,Carbon dioxide (CO2),371.6022
2018-01-01,Fluorinated gases (F gases),13.1162
2018-01-01,Hydrofluorocarbons (HFC),12.4259
2018-01-01,Sulphur hexafluoride (SF6),0.555
2018-01-01,Nitrogen Trifluoride (NF3),3e-4
2019-01-01,Methane (CH4),59.9902
2019-01-01,Nitrous oxide (N2O),19.7648
2019-01-01,Perfluorocarbons (PFC),0.2009
2019-01-01,Carbon dioxide (CO2),358.173
2019-01-01,Fluorinated gases (F gases),12.5071
2019-01-01,Hydrofluorocarbons (HFC),11.8157
2019-01-01,Sulphur hexafluoride (SF6),0.4902
2019-01-01,Nitrogen Trifluoride (NF3),3e-4
2020-01-01,Methane (CH4),57.5346
2020-01-01,Nitrous oxide (N2O),18.608
2020-01-01,Perfluorocarbons (PFC),0.1511
2020-01-01,Carbon dioxide (CO2),318.5465
2020-01-01,Fluorinated gases (F gases),11.603
2020-01-01,Hydrofluorocarbons (HFC),11.0313
2020-01-01,Sulphur hexafluoride (SF6),0.4203
2020-01-01,Nitrogen Trifluoride (NF3),3e-4
2021-01-01,Methane (CH4),56.9992
2021-01-01,Nitrous oxide (N2O),19.0584
2021-01-01,Perfluorocarbons (PFC),0.1929
2021-01-01,Carbon dioxide (CO2),339.54
2021-01-01,Fluorinated gases (F gases),10.9124
2021-01-01,Hydrofluorocarbons (HFC),10.2973
2021-01-01,Sulphur hexafluoride (SF6),0.4218
2021-01-01,Nitrogen Trifluoride (NF3),3e-4
